id	team	year	stats_league	is_pitcher	is_new	is_foreign	games_played	plate_appearances	singles	doubles	triples	home_runs	strikeouts	bases_on_balls	runs
3476	orx	2009	npb	true	false	false	29	717	166	0	0	19	126	34	78
3491	chu	2009	npb	true	false	false	14	243	66	0	0	3	37	11	31
3144	yok	2009	npb	true	false	false	14	52	16	0	0	1	12	2	8
3507	yak	2009	npb	false	false	false	65	176	24	12	1	2	50	12	18
2747	sft	2009	npb	false	false	false	99	457	113	16	6	1	40	16	55
2832	hir	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
2692	orx	2009	npb	true	false	false	51	322	73	0	0	7	52	17	42
3409	yak	2009	npb	true	false	false	20	497	96	0	0	19	83	44	67
616	rak	2009	npb	false	false	false	0	0	0	0	0	0	0	0	0
614	yak	2009	npb	false	false	false	121	417	66	16	4	4	60	32	52
596	yak	2009	npb	true	false	false	8	106	31	0	0	3	8	8	21
3041	sft	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
590	lot	2009	npb	true	false	false	15	358	94	0	0	8	57	12	52
552	orx	2009	jhs	true	true	false	0	0	0	0	0	0	0	0	0
2711	rak	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
3450	sei	2009	npb	false	false	false	139	634	132	25	6	4	57	24	85
612	lot	2009	npb	true	false	false	65	251	45	0	0	7	45	17	24
3934	chu	2009	unknown	true	true	false	0	0	0	0	0	0	0	0	0
2878	orx	2009	npb	false	false	false	15	34	3	0	0	0	10	0	1
3151	yok	2009	npb	false	false	false	0	0	0	0	0	0	0	0	0
798	nip	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
804	rak	2009	npb	true	false	false	22	174	35	0	0	5	24	13	18
795	lot	2009	jindust	true	true	false	0	0	0	0	0	0	0	0	0
3028	hir	2009	npb	false	false	false	66	100	15	2	1	4	22	6	11
3930	yak	2009	npb	true	false	false	19	81	9	0	0	4	12	8	7
3347	sft	2009	npb	false	false	false	49	61	3	2	0	0	15	3	5
3471	han	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
2813	yok	2009	npb	true	false	false	16	27	7	0	0	0	8	1	5
807	han	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
2223	orx	2009	npb	true	false	false	55	179	40	0	0	3	27	10	16
1927	orx	2009	npb	false	false	false	105	399	54	24	0	13	51	37	41
620	rak	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
802	yok	2009	npb	false	false	false	0	0	0	0	0	0	0	0	0
726	sft	2009	jindies	true	true	false	0	0	0	0	0	0	0	0	0
3539	hir	2009	npb	true	false	false	37	163	35	0	0	2	27	18	25
799	yak	2009	npb	false	false	false	17	46	10	0	0	1	12	3	1
3155	hir	2009	npb	false	false	false	94	55	11	0	0	0	13	2	15
4010	yom	2009	npb	false	false	false	124	432	81	21	0	7	61	27	46
619	chu	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
793	sei	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
2640	yok	2009	npb	false	false	false	136	532	95	16	1	9	64	32	44
3108	yom	2009	npb	true	false	false	14	318	72	0	0	15	53	19	36
3513	yom	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
800	sei	2009	npb	true	false	false	26	695	139	0	0	12	138	48	65
801	orx	2009	npb	true	false	false	12	272	63	0	0	7	58	7	23
3463	nip	2009	npb	true	false	false	11	49	16	0	0	1	4	3	11
792	lot	2009	jhs	true	true	false	0	0	0	0	0	0	0	0	0
3420	orx	2009	npb	false	false	true	26	105	10	4	0	1	14	8	12
3672	lot	2009	unknown	false	true	true	0	0	0	0	0	0	0	0	0
3645	hir	2009	npb	true	false	true	26	702	139	0	0	12	183	27	56
3670	orx	2009	unknown	true	true	true	0	0	0	0	0	0	0	0	0
970	sft	2009	npb	false	false	false	0	0	0	0	0	0	0	0	0
3666	yom	2009	npb	true	false	true	0	0	0	0	0	0	0	0	0
3604	chu	2009	npb	false	false	true	105	448	72	16	2	16	93	23	40
3369	yom	2009	npb	false	false	true	45	170	26	4	0	8	37	11	21
902	yak	2009	kbo	true	true	true	34	482	79	16	1	14	83	43	59
3647	yak	2009	npb	true	false	true	54	214	49	0	0	6	50	9	18
3613	yom	2009	npb	true	false	true	0	0	0	0	0	0	0	0	0
3696	rak	2009	unknown	false	true	true	0	0	0	0	0	0	0	0	0
3134	han	2009	npb	false	false	false	66	189	34	6	2	2	31	10	17
3600	rak	2009	npb	true	false	true	0	0	0	0	0	0	0	0	0
3676	sft	2009	unknown	true	true	true	0	0	0	0	0	0	0	0	0
2549	sft	2009	npb	false	false	false	144	631	101	28	2	25	91	77	79
2067	hir	2009	npb	true	false	false	6	72	16	0	0	2	7	9	9
2734	yak	2009	npb	false	false	false	80	147	27	7	0	0	21	10	9
1017	hir	2009	npb	false	false	false	0	0	0	0	0	0	0	0	0
3506	yak	2009	npb	true	false	false	7	21	5	0	0	0	4	2	2
3687	yok	2009	unknown	false	true	true	0	0	0	0	0	0	0	0	0
3200	orx	2009	npb	false	false	false	24	52	4	1	0	1	13	3	3
3504	yak	2009	npb	true	false	false	65	280	47	0	0	4	54	17	12
